	GSM461182_untreat_single_featureCounts	GSM461178_untreat_paired_featureCounts	GSM461177_untreat_paired_featureCounts	GSM461176_untreat_single_featureCounts	GSM461181_treat_paired_featureCounts	GSM461180_treat_paired_featureCounts	GSM461179_treat_single_featureCounts
FBgn0053260	14.1667233709066	16.7156951839676	20.222306267121	28.0539050139502	9.85252892791027	22.4130932183212	30.9415030368787
FBgn0265451	0	0	0	0	0	0	0
FBti0020088	0	0	0	0	0	0	0
FBgn0035988	15.8333967086603	12.1568692247037	23.3334303082165	15.5298402755796	12.3156611598878	19.4246807892117	9.96421284238468
FBti0020260	0	0	0	0	0	0	0
FBgn0264473	0	0	0	0	0	0	0
FBgn0036039	311.667914159946	279.607992168186	300.223469965719	295.567927825547	290.649603373353	288.381799409066	268.509314489524
FBgn0286833	18.3334067152909	7.59804326543983	9.3333721232866	13.5259899174403	7.3893966959327	2.98841242910949	7.34205156807292
FBti0060683	0	1.51960865308797	0	0	1.23156611598878	1.49420621455475	1.57329676458705
FBti0059957	1.66667333775372	0	0	3.50673812674378	0	0	0.524432254862352
FBti0060675	0	0	0	0	0	0	0.524432254862352
FBgn0040291	0	0	0	0	0	0	0
FBgn0028427	850.003402254397	878.333801484844	760.669828047858	866.665279895248	996.336987834926	971.234039460585	889.437104246548
FBgn0053689	0	0	0	0.500962589534826	0	0	0
FBgn0086694	1271.67175670609	1302.30461569639	1311.33878332177	1352.59899174403	1344.87019865975	1367.19868631759	1185.21689598891
FBgn0267794	0	0	0	0.500962589534826	0	1.49420621455475	0
FBti0063962	3.33334667550744	4.5588259592639	17.1111822260254	10.0192517906965	8.62096281192149	11.953649716438	9.96421284238468
FBti0061337	0	0	0	0	0	1.49420621455475	0.524432254862352
FBgn0036208	0	0	1.55556202054777	1.00192517906965	0	0	1.57329676458705
FBgn0052058	10.0000400265223	13.6764778777917	23.3334303082165	18.5356158127885	8.62096281192149	2.98841242910949	13.6352386264211
FBgn0052428	430.00172114046	381.421771925079	360.890388767082	470.403871573201	309.123095113185	283.899180765402	377.066791246031
FBgn0266675	0	0	0	0	0	0	0
FBgn0036236	0	1.51960865308797	0	1.50288776860448	1.23156611598878	0	0.524432254862352
FBgn0037099	0.83333666887686	0	0	0.500962589534826	0	0	0.524432254862352
FBgn0267617	0.83333666887686	1.51960865308797	0	2.50481294767413	2.46313223197757	2.98841242910949	2.09772901944941
FBgn0261454	0	0	0	0	0	0	0.524432254862352
FBti0060089	0	0	0	0	0	0	0
FBti0020275	0	0	0	0	0	0	0
FBgn0036764	3620.01448960108	3446.47242520351	3112.67960311608	2573.4448224404	4469.3534349233	4394.46047700551	3942.1572598003
FBti0020077	0.83333666887686	1.51960865308797	3.11112404109553	4.50866330581343	4.92626446395514	4.48261864366424	3.67102578403646
FBgn0262530	0	0	0	0	0	0	0
FBgn0262461	0	0	0	0	0	0	0
FBgn0035262	289.16782410027	399.657075762135	474.446416267069	381.733493225537	250.007921545723	274.933943478073	291.584333703468
FBgn0037114	0	0	0	0.500962589534826	0	0	0
FBti0063722	0	0	0	0	0	0	0
FBgn0004623	1.66667333775372	1.51960865308797	0	0.500962589534826	7.3893966959327	2.98841242910949	2.62216127431176
FBti0020262	0	0	0	0	0	0	0
FBgn0036102	4.1666833443843	1.51960865308797	4.6666860616433	4.0077007162786	3.69469834796635	2.98841242910949	2.62216127431176
FBti0062696	0.83333666887686	0	6.22224808219107	1.00192517906965	2.46313223197757	1.49420621455475	0.524432254862352
FBgn0035770	331.66799421299	340.392338291704	415.335059486254	294.065040056943	289.418037257364	319.760129914716	305.219572329889
FBgn0036396	85.0003402254397	94.2157364914539	98.0004072945093	99.6915553174303	104.683119859047	91.1465790878395	91.7756446009115
FBgn0054057	26.6667734040595	54.7059115111668	38.8890505136942	43.5837452895298	19.7050578558205	14.9420621455475	26.7460449979799
FBti0020198	0.83333666887686	0	1.55556202054777	0	3.69469834796635	0	0.524432254862352
FBgn0036393	0	0	0	0	0	0	0.524432254862352
FBti0060398	0.83333666887686	1.51960865308797	0	2.50481294767413	1.23156611598878	0	3.67102578403646
FBgn0035831	238.334287298782	202.107950860699	155.556202054777	217.918726447649	177.345520702385	185.281570604788	207.675172925491
FBgn0010235	2632.510536982	2878.13878894861	2793.78938890379	2703.69509571945	2550.57342621277	2558.08103931772	2301.73316659086
FBgn0002466	2277.50911604046	2025.63833456626	2202.67582109564	2104.04287604627	2134.30407900856	2369.81105628383	2245.61891532059
FBgn0036156	0	0	0	0	0	0	1.0488645097247
FBgn0036579	280.001120742625	278.088383515098	287.778973801337	301.07851631043	295.575867837308	279.416562121737	303.121843310439
FBgn0036254	375.834837663464	372.304120006551	385.779381095846	496.453926229012	300.502132301263	291.370211838175	372.34690095227
FBti0059665	1.66667333775372	1.51960865308797	1.55556202054777	2.0038503581393	2.46313223197757	2.98841242910949	6.81761931321057
FBgn0036161	0	1.51960865308797	3.11112404109553	2.0038503581393	0	0	1.0488645097247
FBgn0035776	5.83335668213802	0	6.22224808219107	6.01155107441791	3.69469834796635	5.97682485821898	5.76875480348587
